product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url
B0BWKXBXR6,2,SMEG Retro Personal Blender with 2 Bottles PBF01PGUS,Pastel Green,169.95,169.95,SMEG,PBF01PGUS,,5.5D x 5.5 x 13,4 lbs,4,5.0 out of 5 stars,https://www.amazon.com/Personal-Blender-Bottles-PBF01PGUS-Pastel/dp/B0BWKXBXR6/,https://m.media-amazon.com/images/I/418aOu9FiBL.jpg
B0B22F5JXV,2,Hydra Cup 4 PACK - Extra Large Shaker Bottle,45-Ounce Shaker Cup with Dual Blenders for Mixing Protein,26.99,,Hydra Cup,HCC2200,4 Pack Women Jumbo Shaker,14.68 x 7.83 x 4.21,1.92 lbs,52,4.3 out of 5 stars,https://www.amazon.com/PACK-Shaker-45-Ounce-Blenders-Protein/dp/B0B22F5JXV/,https://m.media-amazon.com/images/I/71ucEWfXUUL.jpg
B0BVVGH8B1,2,Portable Blender for Shakes and Smoothies Personal Small Drink Electric Blender Cup USB Rechargeable 380ml(13oz) and 6 Blades Shake Mixer Tarvel Mini Fresh Juice Blender Bottle with a Straw (black),,15.99,,AMHSCOCA,,,3.14D x 3.14 x 9.4,1.12 lbs,4,3.4 out of 5 stars,https://www.amazon.com/Portable-Smoothies-Personal-Electric-Rechargeable/dp/B0BVVGH8B1/,https://m.media-amazon.com/images/I/61dNYiEOehL.jpg
B0BSXJMY57,2,JIEPRO Stainless Steel Ball for Mixing Protein,6 PCS Replacement Shaker Bottle Whisk Ball Milkshake Protein Wire Mixer Mixing 2.1 Inches,6.99,,JIEPRO,,,7.28 x 5.87 x 1.77,2.39 oz,9,4.9 out of 5 stars,https://www.amazon.com/JIEPRO-Stainless-Protein-Replacement-Milkshake/dp/B0BSXJMY57/,https://m.media-amazon.com/images/I/614TfCm9l4L.jpg
B09VC8XG9D,2,Genteen Blender Bottles,Protein Shaker Bottle for Protein Mixes USB-Rechargeable Powerful Electric Shaker Bottles includes Supplement Storage - BPA Free,24.99,24.99,Genteen,V2,Protein Shaker Bottle,3.5 x 7.7,1.3 lbs,950,3.9 out of 5 stars,https://www.amazon.com/Genteen-Electric-Container-USB-Rechargeable-Chocolate/dp/B09VC8XG9D/,https://m.media-amazon.com/images/I/61e4ffEoMwL.jpg
B093SRY7LM,2,IXIGER 4 Pack Shaker Ball,Stainless Blender Mixing Ball,6.75,,IXIGER,,,3.35 x 3.35 x 1.77,2.89 oz,52,4.7 out of 5 stars,https://www.amazon.com/IXIGER-Stainless-Blender-Plastic-Protein/dp/B093SRY7LM/,https://m.media-amazon.com/images/I/51z7jxCC6AS.jpg
B09YDHKZN4,2,Personal Size Blender,Portable Blender,30.99,33.99,Oqnsrwg,,,9.8D x 4 x 3.9,1.08 lbs,96,3.3 out of 5 stars,https://www.amazon.com/Personal-Blender-Portable-Battery-Operated/dp/B09YDHKZN4/,https://m.media-amazon.com/images/I/61oeV6me4DL.jpg
B0B5W63Z6T,2,KP'S VARIETY Portable Blender for Shakes and Smoothies,on the Go Blender 4000mAh USB Rechargeable Battery with 6 Blades,19.99,,KP'S Variety,SRP-618,,3.35D x 3.35 x 9.84,1.3 lbs,35,4.1 out of 5 stars,https://www.amazon.com/KPS-VARIETY-Portable-Blender-Smoothies/dp/B0B5W63Z6T/,https://m.media-amazon.com/images/I/71FshN9nFHL.jpg
B09S3MZ1SK,2,Personal Blender,Portable Blender USB Rechargeable,19.89,,Linshuma,A1,,3.15D x 3.15 x 8.98,1.06 lbs,110,4.1 out of 5 stars,https://www.amazon.com/Personal-Portable-Rechargeable-Linshuma-Smoothies/dp/B09S3MZ1SK/,https://m.media-amazon.com/images/I/716AM1E-70L.jpg
B0C3CBSWFD,2,Portable Blender 22oz USB Rechargeable Cup Juice Lemon Vegetables Fruit Milkshake Smoothie Reamers Bottle Making it Perfect for Indoor,Outdoor,22.99,34.99,Tianmingwei,,,3.75D x 3.75 x 12.2,1.75 lbs,43,3.9 out of 5 stars,https://www.amazon.com/Portable-Rechargeable-Vegetables-Milkshake-Smoothie/dp/B0C3CBSWFD/,https://m.media-amazon.com/images/I/71+Toci7UtL.jpg
