product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_name,seller_url
B07GT84JF1,2,The Honest Company Clean Conscious Diapers ,Plant-Based,27.99,,,,,,,"39,874",4.6 out of 5 stars,https://www.amazon.com/dp/B07GT84JF1,https://m.media-amazon.com/images/I/81-hFd6Fd9L.jpg,,
B07GS3Q397,2,The Honest Company Clean Conscious Diapers ,Plant-Based,29.97,,,,,,,"39,874",4.6 out of 5 stars,https://www.amazon.com/dp/B07GS3Q397,https://m.media-amazon.com/images/I/71K2YHu29mL.jpg,,
B07G4V2J1P,2,The Honest Company Clean Conscious Diapers ,Plant-Based,29.99,,,,,,,"39,874",4.6 out of 5 stars,https://www.amazon.com/dp/B07G4V2J1P,https://m.media-amazon.com/images/I/81SQPln3rfL.jpg,,
B01NBNG19Y,2,The Honest Company Clean Conscious Overnight Diapers ,Plant-Based,29.97,,,,,,,"2,685",4.4 out of 5 stars,https://www.amazon.com/dp/B01NBNG19Y,https://m.media-amazon.com/images/I/41UN3Dmyi5L.jpg,,
B07B14D6MD,2,The Honest Company Clean Conscious Wipes ,99% Water,18.99,,,,,,,"1,936",4.8 out of 5 stars,https://www.amazon.com/dp/B07B14D6MD,https://m.media-amazon.com/images/I/41MVJyXW38L.jpg,,
B01MUOX7PP,2,The Honest Company 2-in-1 Cleansing Shampoo + Body Wash and Face + Body Lotion Bundle ,Gentle for Baby,15.98,,,,,,,"8,243",4.7 out of 5 stars,https://www.amazon.com/dp/B01MUOX7PP,https://m.media-amazon.com/images/I/71RzQKrQYTL.jpg,,
B01JK164JU,2,The Honest Company Hydrating Face + Body Lotion ,Fast Absorbing,10.99,,,,,,,"4,332",4.7 out of 5 stars,https://www.amazon.com/dp/B01JK164JU,https://m.media-amazon.com/images/I/61eqy8WZNNL.jpg,,
B00QO2UNR8,2,The Honest Company Silicone-Free Conditioner ,Gentle for Baby,11.99,,,,,,,"4,754",4.7 out of 5 stars,https://www.amazon.com/dp/B00QO2UNR8,https://m.media-amazon.com/images/I/61zet+C-sCL.jpg,,
B00EHD9872,2,The Honest Company 2-in-1 Cleansing Shampoo + Body Wash ,Gentle for Baby,11.99,,,,,,,"9,680",4.7 out of 5 stars,https://www.amazon.com/dp/B00EHD9872,https://m.media-amazon.com/images/I/313ToES9ACL.jpg,,
B07G4F4KCZ,2,The Honest Company Clean Conscious Diapers ,Plant-Based,32.99,,,,,,,"39,874",4.6 out of 5 stars,https://www.amazon.com/dp/B07G4F4KCZ,https://m.media-amazon.com/images/I/81h9VxWi2pL.jpg,,
