product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_name,seller_url
B0CLCS99CK,2,Green Mechanical Chameleon Laptop Shoulder Bag for Men Women Slim Briefcase Messenger Bag Waterproof 14 Inch 15 Inch Laptop Bag Carrying Case Fit 14-15.6 Inch Notebook Computer Tablet,, ,,,,,,,,,https://www.amazon.com/Mechanical-Chameleon-Briefcase-Messenger-Waterproof/dp/B0CLCS99CK/,https://m.media-amazon.com/images/I/61A2hbENo1L.jpg,AXXJH,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A344ROY38RTX6D&asin=B0CLCS99CK&ref_=dp_merchant_link
B0CLCVPCQP,2,Christmas Nature Winter Laptop Shoulder Bag for Men Women Slim Briefcase Messenger Bag Waterproof 14 Inch 15 Inch Laptop Bag Carrying Case Fit 14-15.6 Inch Notebook Computer Tablet,, ,,,,,,,,,https://www.amazon.com/Christmas-Shoulder-Briefcase-Messenger-Waterproof/dp/B0CLCVPCQP/,https://m.media-amazon.com/images/I/51M49bHHYVL.jpg,AXXJH,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A344ROY38RTX6D&asin=B0CLCVPCQP&ref_=dp_merchant_link
B0CKZ2WVDF,2,"Laptop case Cover for Dell Inspiron 7430 14 Plus Laptop 7420 7425 and Inspiron 14 Pro 5420 5430 5425 Full Cover Drop Protection Case 14"" PU Leather Inner Pocket Cover (Wine red)",,55.99,,WODBAO,Dell Inspiron 7430,,14.28 x 8.93 x 0.82,12.9 oz,,,https://www.amazon.com/Dell-Inspiron-7430-Protection-Leather/dp/B0CKZ2WVDF/,https://m.media-amazon.com/images/I/81ttFFUM47L.jpg,WODBAO,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1HX79PUOWM5GV&asin=B0CKZ2WVDF&ref_=dp_merchant_link
B0CLLKXN1V,2,Lushandy Retro Plaid Backpack for Women Men Winter Plush Sherpa Backpack Y2K Aesthetic Laptop Backpack Fluffy Casual Daypack,,18.99,,,,,5.91 x 11.4 x 16.9,,,,https://www.amazon.com/Lushandy-Backpack-Winter-Aesthetic-Daypack/dp/B0CLLKXN1V/,https://m.media-amazon.com/images/I/614q+gzZ0nL.jpg,Thelure,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A15LRA38V73TL0&asin=B0CLLKXN1V&ref_=dp_merchant_link
B0CLDGGCDC,2,Durable laptop Sleeve,Water Resistant Messenger Shoulder Bag with Strap,6.09,,,,,,,,,https://www.amazon.com/Resistant-Messenger-Shoulder-Computer-Notebook/dp/B0CLDGGCDC/,https://m.media-amazon.com/images/I/61NuJW1lSeL.jpg,botaruai,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14Q1COYNHPMDI&asin=B0CLDGGCDC&ref_=dp_merchant_link
B0CLBPVBXV,2,Gatuida Computer Bag Laptop Carrying Bag Laptop Carrying Case Notebook Case Computers Laptops Laptop Carrying Pouch Handheld Laptop Case Anti-Fall Travel Jiaji Cloth Protective Case,,13.89,,Gatuida,B024316XP20QOLQT4Z1WF4F,,14.96 x 10.63 x 1.18,7.8 oz,,,https://www.amazon.com/Gatuida-Computer-Computers-Anti-Fall-Protective/dp/B0CLBPVBXV/,https://m.media-amazon.com/images/I/61KSZrh52pL.jpg,wushubl,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1ZPX44FNMOO3Y&asin=B0CLBPVBXV&ref_=dp_merchant_link
B0CLQLQJL1,2,Coastal Beach Tower Laptop Computer Bag Waterproof Shoulder Messenger Bag 13-15 inch Durable Laptop Tote Bag with Shoulder Strap Handle Lightweight Crossbody Briefcase,,22.99,,,,,,,,,https://www.amazon.com/Waterproof-Messenger-Lightweight-Crossbody-Briefcase/dp/B0CLQLQJL1/,https://m.media-amazon.com/images/I/51g4-9ZYoJL.jpg,Axfcmj,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1ASV5RKAOUD4C&asin=B0CLQLQJL1&ref_=dp_merchant_link
B0CL5FV5CX,2,OSALADI messenger bag men laptop bag laptop bag for men Retro Briefcase money storage briefcase mens leather computer bag important document organizer pu leather casual men's Backpack,, ,,,,,,,,,https://www.amazon.com/OSALADI-messenger-Briefcase-briefcase-important/dp/B0CL5FV5CX/,https://m.media-amazon.com/images/I/51lRHk9NeOL.jpg,Joan Yue,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A14B6JF9UXEWQA&asin=B0CL5FV5CX&ref_=dp_merchant_link
B0CLS1KSXG,2,ZERMU Soccer Superstar Miami Lionel Messi 10 Lightweight Bookbag Casual School Backpack for Women Men Kids Teen Boys Girls,,32.99,,ZERMU,,,,,,,https://www.amazon.com/ZERMU-Superstar-Lightweight-Bookbag-Backpack/dp/B0CLS1KSXG/,https://m.media-amazon.com/images/I/71pe6q03R5L.jpg,ZERMU,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A34IEYODSWUG7Z&asin=B0CLS1KSXG&ref_=dp_merchant_link
B0CLSCP14D,2,"Kipling Women's Seoul 15"" Laptop Backpack",Durable,134.00,,Kipling,100390988,,12.75 x 9 x 17.25,1 lbs,865,4.7 out of 5 stars,https://www.amazon.com/Kipling-Backpack-Durable-Shoulder-Protective/dp/B0CLSCP14D/,https://m.media-amazon.com/images/I/71pkbVAAUwL.jpg,Live Light Bags,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2BVTLZIOHQAS&asin=B0CLSCP14D&ref_=dp_merchant_link&isAmazonFulfilled=1
