product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_name,seller_url
B09NXJSKQG,2,BANGE Business Smart Backpack Waterproof fit 15.6 Inch Laptop Backpack with USB Charging Port,Travel Durable Backpack,59.99,69.99,,,,,,"1,753",4.5 out of 5 stars,https://www.amazon.com/BANGE-Business-Backpack-Waterproof-Charging/dp/B09NXJSKQG/,https://m.media-amazon.com/images/I/613ZPsFSkCL.jpg,Bange Design,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2APQCSMCNTM9B&asin=B09NXJSKQG&ref_=dp_merchant_link&isAmazonFulfilled=1
B0CGHZLF1L,2,CROVA Laptop Backpack Laptops Travel Business Computer Bag Men Women Fits 15.6 Inch,,9.90,,,FBA-8506-Black,,4.33 x 11.02 x 15.75,15.5 oz,12,3.2 out of 5 stars,https://www.amazon.com/CROVA-Backpack-Laptops-Business-Computer/dp/B0CGHZLF1L/,https://m.media-amazon.com/images/I/61g+6vWZpAL.jpg,Wan xun,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1HP7F649VOMJE&asin=B0CGHZLF1L&ref_=dp_merchant_link&isAmazonFulfilled=1
B01HO06HAK,2,VASCHY Backpack for Men Women,Classic Water-resistant Lightweight Travel School Backpack Casual Daypack, ,,,,,,,"8,396",4.7 out of 5 stars,https://www.amazon.com/Classic-Lightweight-Water-resistant-Rucksack-Backpack/dp/B01HO06HAK/,https://m.media-amazon.com/images/I/81UbNUfvstL.jpg,VaschyDirect,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AWM5K31LE3C7S&asin=B01HO06HAK&ref_=dp_merchant_link&isAmazonFulfilled=1
B0CD9474FJ,2,Thule Paramount 27L BP,,179.95,179.95,Thule,3205015,Paramount,20 x 15.25 x 3,1.32 Kilograms,11,4.9 out of 5 stars,https://www.amazon.com/Thule-Paramount-27L-Backpack-Commuter/dp/B0CD9474FJ/,https://m.media-amazon.com/images/I/A1F0gYhdpsL.jpg,,
B07P8BRZPN,2,BOPAI 30L Travel Backpack for Men Business Laptop Backpack 15.6 inch Computer bagpack with USB Charging Water-Resistant Rucksack Black,,99.99,,Bopai,BOPAI20190303,,5 x 5 x 0.7,2.8 lbs,391,4.6 out of 5 stars,https://www.amazon.com/Backpack-Business-Computer-Charging-Water-Resistant/dp/B07P8BRZPN/,https://m.media-amazon.com/images/I/61QDnTU5M3L.jpg,Bopai Online,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AST1TV9N7RVTY&asin=B07P8BRZPN&ref_=dp_merchant_link&isAmazonFulfilled=1
B0B8N81PJK,2,FALANKO Backpack Purse for Women,15.6 inch Laptop Backpack Large Shoulder Bags for Work Office Airplane Travel Bookbag,23.99,,,220629,,22 x 17 x 15,2.38 lbs,186,3.8 out of 5 stars,https://www.amazon.com/FALANKO-Backpack-Shoulder-Airplane-Anti-Theft/dp/B0B8N81PJK/,https://m.media-amazon.com/images/I/81E2LmlpgZL.jpg,FALANKO,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AZW6SZX801ENX&asin=B0B8N81PJK&ref_=dp_merchant_link&isAmazonFulfilled=1
B07W4P5W38,2,Ytonet Laptop Backpack for Women,Travel Backpack for College with USB Charging Port Fit 15.6 Inch Laptop,19.99,39.99,vogue shop,122401A GRY,,16 x 11 x 6.5,1.7 lbs,"10,480",4.7 out of 5 stars,https://www.amazon.com/Backpack-Durable-Charging-Computer-Notebook/dp/B07W4P5W38/,https://m.media-amazon.com/images/I/81iqhsbKWdL.jpg,Urpack,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AAHM3UXDY9RY6&asin=B07W4P5W38&ref_=dp_merchant_link&isAmazonFulfilled=1
B004XANKVO,2,Thule Crossover 32L Backpack - 15inch MacBook Pro / 15.6inch PC/Tablet compatible - Crush proof sunglass/tech pocket - Travel backpack - Carry on sized backpack,,130.91,149.00,"Thule, Inc.",TCBP217,,11.8 x 4.3 x 21.3,2.76 lbs,"2,796",4.7 out of 5 stars,https://www.amazon.com/Thule-Crossover-32L-Backpack-Black/dp/B004XANKVO/,https://m.media-amazon.com/images/I/61tKq1vA3HS.jpg,,
B07XCB51BP,2,MAXTOP Deep Storage Laptop Backpack with USB Charging Port[Water Resistant] College Computer Bookbag Fits 16 Inch Laptop,Black,23.77,39.99,MAXTOP,MAXTOP,,5.9 x 11.8 x 16.9,15.8 oz,"6,864",4.5 out of 5 stars,https://www.amazon.com/Backpack-Charging-Resistant-Business-Computer/dp/B07XCB51BP/,https://m.media-amazon.com/images/I/713gGqf84HL.jpg,MAXTOP Direct,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3TYT3AGC5P9UV&asin=B07XCB51BP&ref_=dp_merchant_link&isAmazonFulfilled=1
B000VOC90Y,2,Wenger Ibex Laptop Backpack,Fits 17 Inch Laptop,79.99,99.99,Wenger,27316060,,15 x 9 x 19,3.35 lbs,"2,160",4.7 out of 5 stars,https://www.amazon.com/Swissgear-Ibex-Computer-Backpack-27316060/dp/B000VOC90Y/,https://m.media-amazon.com/images/I/81r5hJ-C8aL.jpg,,
B0BDVL2GPB,2,Lenovo Legion Gaming Laptop Bag,Double-Layered Protection,17.59,,,,,,,"3,782",4.7 out of 5 stars,https://www.amazon.com/Lenovo-lightweight-water-repellent-breathable-GX40S69333/dp/B07J3VHD1S/,https://m.media-amazon.com/images/I/71U98m3-ayL.jpg,,
B0B99PTV9G,2,Focdod Women Laptop Backpack Work Bag - 15.6 inch with Laptop Compartment Waterproof Professional Travel Backpack Purse with USB Charger for College Teacher Nurse Business Women Blue,,12.99,,Nincrane,,,6.2 x 11.4 x 16.5,1.65 lbs,223,4.8 out of 5 stars,https://www.amazon.com/Focdod-Backpack-Stylish-Waterproof-Anti-theft/dp/B0B99PTV9G/,https://m.media-amazon.com/images/I/71AYMJYUW8L.jpg,FOCDOD Direct,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A221L16MGFMJEC&asin=B0B99PTV9G&ref_=dp_merchant_link&isAmazonFulfilled=1
B005LMWP78,2,EVERKI Business 120 Large Professional 18.4-Inch Workstation or Gaming Laptop Backpack with Rain Cover,Travel Friendly (EKP120),179.99,199.95,Everki,EKP120,,14.96 x 8.27 x 21.26,4.42 lbs,"1,567",4.8 out of 5 stars,https://www.amazon.com/Everki-Checkpoint-Friendly-18-4-Inch-EKP120/dp/B005LMWP78/,https://m.media-amazon.com/images/I/91kuEcwUBfL.jpg,,
B0CCV1KWSW,2,Wrangler Backpack for Men & Women Vintage Leather Work Business Black Backpack Travel Laptop Backpack with Charger,,47.99,59.99,,,,3.8 x 11.2 x 15,2.44 lbs,33,4.8 out of 5 stars,https://www.amazon.com/Wrangler-Backpack-Vintage-Leather-Business/dp/B0CCV1KWSW/,https://m.media-amazon.com/images/I/81SKZmhKFZL.jpg,Bags2Basics,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A39PZ0S8VN9YE8&asin=B0CCV1KWSW&ref_=dp_merchant_link&isAmazonFulfilled=1
B0BQ9396HS,2,bagswan Black Laptop Backpack for Women 15.6 inch Adult Backpack Business Computer Backpacks Purse Travel Work Anti-theft College Bags with USB Charging Port Light Back Pack,,20.99,,,,,5.5 x 12 x 17,1.48 lbs,589,4.6 out of 5 stars,https://www.amazon.com/bagswan-Laptop-Backpack-Women-Bookbag/dp/B0BQ9396HS/,https://m.media-amazon.com/images/I/61vp11qvE8L.jpg,BAGSWAN Direct,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AQT45LYM58229&asin=B0BQ9396HS&ref_=dp_merchant_link&isAmazonFulfilled=1
B0BTBPPB14,2,LOVEVOOK Laptop Backpack Purse for Women,"15.6"" Laptop Bag for Travel with USB Port",32.99,36.99,,,,7.9 x 13.3 x 16.9,1.7 lbs,351,4.8 out of 5 stars,https://www.amazon.com/LOVEVOOK-Backpack-Resistant-Lightweight-Daypacks/dp/B0BTBPPB14/,https://m.media-amazon.com/images/I/71gTYBedjoL.jpg,LOVEVOOK,/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2HD03YRNPP9UN&asin=B0BTBPPB14&ref_=dp_merchant_link&isAmazonFulfilled=1
