product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_name,seller_url,status
B000TK7S5Q,,,,,,,,,,,,,,,,,uni-ball Eye Micro UB-150 Gel Ink Pen - 0.5 mm - Pack of 6 - Green Ink
B000WGWR3U,,,,,,,,,,,,,,,,,"Pentel Arts Slicci Metallic 0.8 mm Needle Tip Gel Pen, Assorted Colors, 3 Pack (BG208BP3M)"
B0013LYXSU,,,,,,,,,,,,,,,,,"
                                    "
B0012YVR1O,,,,,,,,,,,,,,,,,"Uniball Vision Rollerball Pens, Black Pens Pack of 12, Fine Point Pens with 0.7mm Medium Black Ink, Ink Black Pen, Pens Fine Point Smooth Writing Pens, Bulk Pens, and Office Supplies"
B0013M4G6I,,,,,,,,,,,,,,,,,"
                                    "
B000XEFQAM,,,,,,,,,,,,,,,,,"Uniball Vision Rollerball Pens, Fashion Pens Pack of 5, Fine Point Pens with 0.7mm Medium Fashion Ink, Ink Black Pen, Pens Fine Point Smooth Writing Pens, Bulk Pens, and Office Supplies"
B0013CO8XE,,,,,,,,,,,,,,,,,uni-ball 40110 Signo Gel 207 Roller Ball Retractable Gel Pen Assorted Ink Medium 8/Set
B0015ZZW7K,,,,,,,,,,,,,,,,,"
                                    "
B0015ZZ7P2,,,,,,,,,,,,,,,,,"Uniball Signo 207 Gel Pen 12 Pack, 0.7mm Medium Black Pens, Ink Pens | Office Supplies Sold by are Ballpoint Pen, Colored Fine Point, Smooth Writing"
B00161UAJS,,,,,,,,,,,,,,,,,Uni-Ball Signo Broad Point Gel Impact Pen White (2 Pens)
B00177XHPK,,,,,,,,,,,,,,,,,"
                                    "
B00177XHT6,,,,,,,,,,,,,,,,,Uni-Paint Oil Based Paint Marker 5 Pens Bundle Set Multi surface Marking Pen PX-20 Medium Point Black Colour Quik Drying Ink Water and Fade Resistant
B00177ZN6G,,,,,,,,,,,,,,,,,Uni-Ball PX-20 Permanent Marker - Black
B0016P6CUU,,,,,,,,,,,,,,,,,"uni-ball Jetstream RT Retractable Ballpoint Pens Fine Point, 0.7mm, Black, 12 Pack"
B00177ZN2K,,,,,,,,,,,,,,,,,"
                                    "
B001784GFE,,,,,,,,,,,,,,,,,"
                                    "
B0017TGA9S,,,,,,,,,,,,,,,,,"
                                    "
B0017DENUC,,,,,,,,,,,,,,,,,"Uniball Vision Rollerball Pens, Blue Pens Pack of 12, Micro Point Pens with 0.5mm Micro Blue Ink, Ink Black Pen, Pens Fine Point Smooth Writing Pens, Bulk Pens, and Office Supplies"
B0017TGC78,,,,,,,,,,,,,,,,,"
                                    "
B0017TK7AG,,,,,,,,,,,,,,,,,"
                                    "
B0017YNKY6,,,,,,,,,,,,,,,,,"
                                    "
B0017YP1NO,,,,,,,,,,,,,,,,,"Uniball Deluxe Rollerball Pen, 3 Black Pens, 0.5mm Micro Point Roller Pens| Office Supplies, Ink Pens, Colored Pens, Fine Point, Smooth Writing Pens, Ballpoint Pens"
B0017YQSU4,,,,,,,,,,,,,,,,,"Uniball Jetstream Stick Pen 12 Pack, 1.0mm Medium Blue Pens, Wirecutter Best Pen, Ballpoint Pens, Ballpoint Ink Pens | Office Supplies, Ballpoint Pen, Colored Pens, Fine Point, Smooth Writing Pens"
B001AO14KA,,,,,,,,,,,,,,,,,"
                                    "
B0017TLRSM,,,,,,,,,,,,,,,,,"Uniball Vision Elite Roller Ball Pen, Blue Ink, Bold 5 Pens Per Order"
B001B2GTWE,,,,,,,,,,,,,,,,,"
                                    "
B001B0957C,,,,,,,,,,,,,,,,,"Uniball Jetstream RT 12 Pack, 1.0mm Medium Black, Wirecutter Best Pen, Ballpoint Pens, Ballpoint Ink Pens | Office Supplies, Ballpoint Pen, Colored Pens, Fine Point, Smooth Writing Pens"
B001B2Q9O2,,,,,,,,,,,,,,,,,"Uni-Ball (1734904) Vision Needle Fine Blue Roller Ball Pen, 3/Pack"
B001BVP28C,,,,,,,,,,,,,,,,,"
                                    "
B001B2KMBI,,,,,,,,,,,,,,,,,"
                                    "
B001BVTU80,,,,,,,,,,,,,,,,,"
                                    "
B001BT4QOU,,,,,,,,,,,,,,,,,"
                                    "
B001CLILUM,,,,,,,,,,,,,,,,,"
                                    "
B001DZYQTM,,,,,,,,,,,,,,,,,"
                                    "
B001GR0DH6,,,,,,,,,,,,,,,,,"
                                    "
B001E6C8EU,,,,,,,,,,,,,,,,,"
                                    "
B001FMCA78,,,,,,,,,,,,,,,,,"
                                    "
B001EQCJ4O,,,,,,,,,,,,,,,,,$11.31
B001E6C9B2,,,,,,,,,,,,,,,,,"Uniball Vision Elite Rollerball Pens, Assorted Pens Pack of 8, Micro Pens with 0.5mm Ink, Ink Black Pen, Pens Fine Point Smooth Writing Pens, Bulk Pens, and Office Supplies"
B001E6C9AS,,,,,,,,,,,,,,,,,"Uniball Vision Elite Rollerball Pens, Assorted Pens Pack of 8, Bold Pens with 0.8mm Ink, Ink Black Pen, Pens Fine Point Smooth Writing Pens, Bulk Pens, and Office Supplies"
B001GR4E26,,,,,,,,,,,,,,,,,"
                                    "
B001GR2EBE,,,,,,,,,,,,,,,,,"
                                    "
B001GR8C8S,,,,,,,,,,,,,,,,,"
                                    "
B001GR4E3U,,,,,,,,,,,,,,,,,Delivery
B001GR8CCE,,,,,,,,,,,,,,,,,"
                                    "
B001GXFU8C,,,,,,,,,,,,,,,,,"
                                    "
B001GXLQO4,,,,,,,,,,,,,,,,,"Uniball Vision Elite BLX Rollerball Pens, Blue/Black Pens Pack of 3, Bold Pens with 0.8mm Ink, Ink Black Pen, Pens Fine Point Smooth Writing Pens, Bulk Pens, and Office Supplies"
B001HQ8MFQ,,,,,,,,,,,,,,,,,"
                                    "
B001JKR3Y6,,,,,,,,,,,,,,,,,"
                                    "
B001GXDW8W,,,,,,,,,,,,,,,,,Delivery
B001J8C4YM,,,,,,,,,,,,,,,,,Delivery
B001HA59VC,,,,,,,,,,,,,,,,,"uni-ball 62153 uni-ball Jetstream RT Retr Ball Point Pen, Black Brl, Red Ink, Fine, 0.70 mm, Carton of 864"
B001KPUCWA,,,,,,,,,,,,,,,,,Uni Paint Marker PX-30 Broad Silver
B001PMC56Y,,,,,,,,,,,,,,,,,"
                                    "
B001P410N6,,,,,,,,,,,,,,,,,How to return the item?
B001P1ZDTG,,,,,,,,,,,,,,,,,"Uniball Signo 207 Gel Pen 12 Pack, 0.7mm Medium Black Pens, Ink Pens | Office Supplies Sold by are Ballpoint Pen, Colored Fine Point, Smooth Writing"
B001TQFSF6,,,,,,,,,,,,,,,,,"
                                    "
B0021U7SRU,,,,,,,,,,,,,,,,,"
                                    "
B001PLOOOQ,,,,,,,,,,,,,,,,,"Uniball Jetstream RT 3 Pack, 0.7mm Fine Black, Wirecutter Best Pen, Ballpoint Pens, Ballpoint Ink Pens | Office Supplies, Pens, Ballpoint Pen, Colored Pens, Fine Point, Smooth Writing Pens"
B001TJ7GBC,,,,,,,,,,,,,,,,,"
                                    "
B0021UBMZ4,,,,,,,,,,,,,,,,,"
                                    "
B0021UHFS2,,,,,,,,,,,,,,,,,"
                                    "
B001PV13JK,,,,,,,,,,,,,,,,,How to return the item?
